task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11,task12,task13,task14,task15,task16,task17,task18,task19,task20,task21,task22,task23,task24,task25,task26,task27,task28,task29,task30,task31,task32,task33,task34,task35,task36,task37,task38,task39,task40,task41,task42,task43,task44,task45,task46,task47,task48,task49,task50,task51,task52,task53,task54,task55,task56,task57,task58,task59,task60,task61,task62,task63,task64,task65,task66,task67,task68,task69,task70,task71,task72,task73,task74,task75,task76,task77,task78,task79,task80,task81,task82,task83,task84,task85,task86,task87,task88,task89,task90,task91,task92,task93,task94,task95,task96,task97,task98,task99,task100,task101,task102,task103,task104,task105,task106,task107,task108,task109,task110,task111,task112,task113,task114,task115,task116,task117,task118,task119,task120,task121,task122,task123,task124,task125,task126,task127,task128,task129,task130,task131,task132,task133,task134,task135,task136,task137,task138,task139,task140,task141,task142,task143,task144,task145,task146,task147,task148,task149,task150,task151,task152,task153,task154,task155,task156,task157,task158
0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,1440,0,1440,0,1440,2.27373675443232E-13,1440,1.8947806286936E-13,1440,0,1440,2.27373675443232E-13,0,0,0,0,0,-1.51582450295488E-13,0,0,0,0,1440,0,1440,0,1440,0,0,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,1440,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,-1.13686837721616E-13,1440,0,0,0,0,-7.5791225147744E-14,7.5791225147744E-14,0,0,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,1440,1440,1440,0,0,0,1440,1.13686837721616E-13,0,0,1440,0,1440,1440,0,1440,1440
0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,1440,2.27373675443232E-13,1440,0,1440,2.27373675443232E-13,0,0,0,0,0,-2.27373675443232E-13,0,0,0,0,1440,0,1440,0,1440,0,0,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,1440,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,0,0,-1.13686837721616E-13,1.13686837721616E-13,0,0,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,1440,1440,1440,0,0,0,1440,0,0,0,1440,0,1440,1440,0,1440,1440
0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,-2.27373675443232E-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,2.27373675443232E-13,0,1440,0,1440,4.54747350886464E-13,1440,3.41060513164848E-13,1440,4.54747350886464E-13,1440,0,1440,4.54747350886464E-13,0,0,0,0,0,0,2.65269288017104E-14,6.06329801181952E-14,0,2.27373675443232E-13,1440,2.27373675443232E-13,1440,0,1440,1.02318153949454E-13,0,1440,1440,2.27373675443232E-13,1.13686837721616E-13,0,0,0,0,-2.27373675443232E-13,0,0,0,0,2.27373675443232E-13,0,0,0,0,-2.27373675443232E-13,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,1440,1440,1440,0,0,0,0,0,0,2.27373675443232E-13,0,0,2.27373675443232E-13,0,0,0,0,1440,0,1440,0,-1.25055521493778E-13,0,0,7.95807864051312E-14,-1.02318153949454E-13,1.81898940354586E-13,1.13686837721616E-13,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,2.27373675443232E-13,0,1440,1440,1440,0,0,0,1440,1.13686837721616E-13,0,2.00846746641522E-13,1440,0,1440,1440,-2.65269288017104E-14,1440,1440
0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,0,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,1440,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,1440,1440,1440,0,0,0,1440,0,0,0,1440,0,1440,1440,0,1440,1440
0,0,1440,0,1440,0,2.27373675443232E-13,1440,0,1440,0,1440,2.27373675443232E-13,0,4.54747350886464E-13,0,0,0,0,0,0,0,2.27373675443232E-13,4.54747350886464E-13,4.54747350886464E-13,0,0,0,1440,0,1440,0,6.82121026329696E-13,1440,0,1440,2.27373675443232E-13,1440,2.27373675443232E-13,1440,4.54747350886464E-13,1440,0,1440,9.09494701772928E-13,6.82121026329696E-13,6.82121026329696E-13,6.82121026329696E-13,0,2.27373675443232E-13,0,-3.41060513164848E-13,2.27373675443232E-13,0,2.27373675443232E-13,1440,0,1440,0,1440,0,2.27373675443232E-13,1440,1440,4.54747350886464E-13,5.6843418860808E-13,0,0,0,2.27373675443232E-13,2.27373675443232E-13,0,0,0,-6.82121026329696E-13,0,0,0,0,0,2.27373675443232E-13,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,-3.41060513164848E-13,1440,1440,1440,1440,1440,4.54747350886464E-13,0,2.27373675443232E-13,0,2.27373675443232E-13,0,2.27373675443232E-13,0,0,6.82121026329696E-13,0,4.54747350886464E-13,0,0,1440,0,1440,0,0,2.27373675443232E-13,0,2.27373675443232E-13,0,4.54747350886464E-13,0,6.82121026329696E-13,1440,0,1440,0,1440,0,1440,0,0,0,0,-3.41060513164848E-13,0,0,1440,1440,1440,0,0,4.54747350886464E-13,1440,2.27373675443232E-13,0,9.09494701772928E-13,1440,0,1440,1440,4.54747350886464E-13,1440,1440
0,0,1080,0,1080,0,360,1080,0,1080,0,1080,308.571428571428,0,360,0,360,0,0,0,0,0,308.571428571428,360,51.428571428571,0,0,0,360,0,720,0,360,360,0,720,360,1088.57142857143,720,960.000000000001,0,960,0,668.571428571427,222.857142857142,360,428.571428571429,360,0,102.857142857143,0,77.1428571428571,51.4285714285714,51.4285714285715,-4.54747350886464E-13,1080,342.857142857144,1088.57142857143,-4.54747350886464E-13,1088.57142857143,-4.54747350886464E-13,351.428571428572,1011.42857142857,1140,248.571428571428,300,0,0,0,-4.54747350886464E-13,351.428571428572,0,0,0,102.857142857143,128.571428571429,0,0,0,0,351.428571428572,1440,0,1440,0,1440,0,1440,0,1337.14285714286,0,1337.14285714286,0,0,1440,102.857142857143,1440,1080,720,822.857142857143,720,360,0,0,0,51.4285714285716,0,51.428571428571,0,0,171.428571428571,0,720.000000000002,257.142857142857,0,720,0,908.571428571429,102.857142857143,0,-4.54747350886464E-13,0,351.428571428572,0,351.428571428571,0,8.57142857142799,1080,0,1440,0,985.714285714286,0,1011.42857142857,0,0,0,0,0,0,0,1088.57142857143,1440,1131.42857142857,0,0,360,0,720,205.714285714286,222.857142857143,1088.57142857143,0,1088.57142857143,1440,300,1088.57142857143,1080
0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,0,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,1440,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,1440,1440,1440,0,0,0,0,0,0,0,1440,0,1440,1440,0,1440,1440
0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,0,-2.27373675443232E-13,0,0,0,0,0,0,0,0,-2.27373675443232E-13,0,0,0,0,1440,0,1440,0,-2.27373675443232E-13,1440,0,1440,-2.27373675443232E-13,1440,-2.27373675443232E-13,1440,0,1440,0,1440,-4.54747350886464E-13,0,-2.27373675443232E-13,-2.27373675443232E-13,0,0,0,-1.59161572810262E-14,0,-3.18323145620525E-14,0,1440,-2.27373675443232E-13,1440,-2.27373675443232E-13,1440,0,-2.27373675443232E-13,1440,1440,-1.63709046319127E-13,-1.9554136088118E-13,0,0,0,0,-2.27373675443232E-13,0,0,0,-1.59161572810262E-14,0,0,0,0,0,-2.27373675443232E-13,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,1440,1440,1440,-2.27373675443232E-13,0,0,0,0,0,0,0,0,0,0,-4.54747350886464E-13,0,0,1440,0,1440,-1.79625203600153E-13,0,0,0,-2.27373675443232E-13,0,-2.27373675443232E-13,0,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,1440,1440,1440,0,0,-2.27373675443232E-13,0,0,6.59383658785373E-14,-1.79625203600153E-13,1440,0,1440,1440,0,1440,1440
0,0,960,0,1440,0,0,960,0,960,0,960,288,0,480,0,480,0,480,0,0,0,288,480,336,0,0,48,0,0,464,0,704,240,0,480,480,64,240,784,0,736,0,368,224,0,368,272,0,288,0,144,192,0,336,736,704,304,704,352,432,656,928,1072,368,368,0,0,0,432,704,0,0,0,0,0,0,0,0,0,704,1440,0,1440,0,1440,0,1008,0,1440,0,1440,0,0,1440,0,1440,480,480,816,480,480,0,480,0,192,0,336,0,0,320,0,736,144,0,960,720,928,0,0,432,0,656,0,368,0,0,736,0,1008,0,784,0,736,0,0,0,0,0,0,0,736,1440,1104,0,0,480,0,480,288,224,784,0,736,960,0,736,960
0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,0,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,1440,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,1440,1440,1440,0,0,0,0,0,0,0,1440,0,1440,1440,0,1440,1440
0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,0,0,0,4.04648066466769E-14,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,1440,0,1440,-1.13686837721616E-13,1440,0,1440,0,1440,0,1440,-2.27373675443232E-13,0,0,1.54151644368293E-13,0,0,0,0,0,0,0,1440,0,1440,0,1440,-1.54151644368293E-13,0,1440,1440,0,0,0,0,0,-1.54151644368293E-13,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,1440,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,-1.54151644368293E-13,0,0,0,-2.27373675443232E-13,0,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,1440,1440,1440,0,0,0,0,-2.27373675443232E-13,0,0,1440,0,1440,1440,0,1440,1440
0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,0,0,0,4.04648066466769E-14,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,1440,0,1440,-1.13686837721616E-13,1440,0,1440,0,1440,0,1440,-2.27373675443232E-13,0,0,1.54151644368293E-13,0,0,0,0,0,0,0,1440,0,1440,0,1440,-1.54151644368293E-13,0,1440,1440,0,0,0,0,0,-1.54151644368293E-13,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,1440,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,-1.54151644368293E-13,0,0,0,-2.27373675443232E-13,0,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,1440,1440,1440,0,0,0,0,-2.27373675443232E-13,0,0,1440,0,1440,1440,0,1440,1440
0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,0,0,0,4.04648066466769E-14,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,1440,0,1440,-1.13686837721616E-13,1440,0,1440,0,1440,0,1440,-2.27373675443232E-13,0,0,1.54151644368293E-13,0,0,0,0,0,0,0,1440,0,1440,0,1440,-1.54151644368293E-13,0,1440,1440,0,0,0,0,0,-1.54151644368293E-13,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,1440,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,-1.54151644368293E-13,0,0,0,-2.27373675443232E-13,0,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,1440,1440,1440,0,0,0,0,-2.27373675443232E-13,0,0,1440,0,1440,1440,0,1440,1440
0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,0,0,0,4.04648066466769E-14,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,1440,0,1440,-1.13686837721616E-13,1440,0,1440,0,1440,0,1440,-2.27373675443232E-13,0,0,1.54151644368293E-13,0,0,0,0,0,0,0,1440,0,1440,0,1440,-1.54151644368293E-13,0,1440,1440,0,0,0,0,0,-1.54151644368293E-13,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,1440,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,-1.54151644368293E-13,0,0,0,-2.27373675443232E-13,0,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,1440,1440,1440,0,0,0,0,-2.27373675443232E-13,0,0,1440,0,1440,1440,0,1440,1440
0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,0,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,1440,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,1440,1440,1440,0,0,0,0,0,0,0,1440,0,1440,1440,0,1440,1440
0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,0,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,1440,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,1440,1440,1440,0,0,0,0,0,0,0,1440,0,1440,1440,0,1440,1440
0,0,1120,0,1440,0,0,1440,0,1440,0,1440,0,0,320,0,0,0,0,0,0,0,480,0,320,0,0,0,480,0,480,0,960,0,0,0,1440,0,1440,0,0,1120,0,1120,0,0,0,0,0,960,0,480,320,0,320,0,320,0,960,1440,1440,1440,480,960,480,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,800,1440,800,320,0,0,0,0,0,320,0,0,320,0,0,0,0,480,0,960,0,0,1440,0,0,0,0,0,480,0,0,0,0,0,0,160,0,0,0,0,0,0,0,1440,1440,1440,0,0,320,0,0,0,0,0,0,1440,1120,0,640,1120
0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,0,0,0,1440,0,1440,1440,0,1440,0,1440,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,0,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,1440,1440,1440,0,0,0,0,0,0,0,1440,0,1440,1440,0,1440,1440
0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,0,0,0,1440,0,0,0,0,0,1440,0,1440,0,0,0,0,0,1440,0,1440,0,0,1440,0,1440,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,0,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,1440,1440,1440,0,0,0,0,0,0,0,1440,0,1440,1440,0,1440,1440
0,0,960,0,1440,0,0,1440,0,1440,0,1440,0,0,480,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0,960,0,480,960,0,960,480,960,480,960,0,960,0,480,0,0,480,0,0,0,0,0,0,0,0,960,480,960,480,960,480,480,960,960,480,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,480,1440,0,480,0,0,0,0,0,0,0,0,0,0,960,0,0,960,0,960,0,0,480,0,0,0,480,0,0,960,0,960,0,960,0,960,0,0,0,0,0,0,0,1440,1440,1440,0,0,480,0,0,0,480,960,0,1440,960,0,960,960
0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,0,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,1440,1440,1440,0,0,0,0,0,0,0,1440,0,1440,1440,0,1440,1440
0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,0,1440,1440,4.2632564145606E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,1440,1440,1440,0,0,0,0,0,0,0,1440,0,1440,1440,0,1440,1440
0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,0,1440,1440,4.2632564145606E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,1440,1440,1440,0,0,0,0,0,0,0,1440,0,1440,1440,0,1440,1440
0,0,1080,0,1440,0,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,0,0,0,720,0,360,0,360,0,720,0,720,360,720,720,0,720,720,720,720,720,0,720,0,720,0,720,0,0,0,360,0,360,360,360,360,0,720,720,0,720,720,720,720,720,360,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,1080,1440,0,360,0,0,0,0,0,360,0,0,0,0,0,0,0,720,0,720,0,0,0,0,0,0,360,0,720,720,0,1080,0,720,0,0,0,0,0,0,0,0,0,1440,1440,1440,0,0,360,0,0,0,360,720,0,1440,1440,0,0,1080
0,0,864,0,1152,0,0,1440,0,1440,0,1440,0,0,0,0,288,0,288,0,0,0,576,0,0,0,288,0,288,0,864,0,576,576,0,576,576,864,576,576,0,864,0,576,0,576,288,0,0,576,0,288,288,0,288,0,576,576,0,576,864,864,864,1152,288,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1152,864,1440,0,576,0,0,0,0,0,0,0,0,288,0,576,0,0,864,0,864,0,0,0,0,0,0,288,0,0,864,0,576,0,576,0,576,0,0,0,0,0,0,0,1440,1440,1440,0,0,576,0,0,0,0,576,0,1440,1440,0,864,864
0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,1440,1440,1440,0,0,0,0,0,0,0,1440,0,1440,1440,0,1440,1440
0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,0,0,0,2.27373675443232E-13,0,2.27373675443232E-13,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,2.27373675443232E-13,0,0,1.70530256582424E-13,0,0,0,1.13686837721616E-13,0,0,0,1440,0,1440,2.27373675443232E-13,3.41060513164848E-13,1440,1440,1.70530256582424E-13,0,0,0,0,0,0,0,0,0,-2.27373675443232E-13,0,1.51582450295488E-13,0,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,1440,1440,0,0,0,0,0,0,0,2.27373675443232E-13,0,0,4.54747350886464E-13,0,0,0,0,1440,0,1440,0,0,0,0,0,0,0,1.8947806286936E-13,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,1440,1440,1440,0,0,0,0,0,0,0,1440,0,1440,1440,0,1440,1440
0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,0,0,0,2.27373675443232E-13,0,2.27373675443232E-13,0,0,0,0,0,0,0,0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,2.27373675443232E-13,0,0,1.70530256582424E-13,0,0,0,1.13686837721616E-13,0,0,0,1440,0,1440,2.27373675443232E-13,3.41060513164848E-13,1440,1440,1.70530256582424E-13,0,0,0,0,0,0,0,0,0,-2.27373675443232E-13,0,1.51582450295488E-13,0,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,1440,1440,0,0,0,0,0,0,0,2.27373675443232E-13,0,0,4.54747350886464E-13,0,0,0,0,1440,0,1440,0,0,0,0,0,0,0,1.8947806286936E-13,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,1440,1440,1440,0,0,0,0,0,0,0,1440,0,1440,1440,0,1440,1440
0,0,1080,0,1440,0,0,1440,0,1440,0,1440,360,0,360,0,0,0,0,0,0,0,0,0,0,0,360,0,720,0,1440,0,0,1440,0,1440,0,1440,0,1440,0,0,0,360,0,0,720,0,0,0,0,0,0,0,0,0,360,1440,0,1440,0,0,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,720,1080,0,360,0,0,0,0,0,360,0,0,0,0,360,0,0,1440,0,1440,0,0,0,0,0,0,0,0,0,1080,0,1080,0,1440,0,1440,0,0,0,0,0,0,0,1440,1440,1080,0,0,0,0,0,0,0,1440,0,1440,1080,0,1080,1080
0,0,1080,0,1440,0,0,1440,0,1440,0,1440,0,0,360,0,0,0,0,0,0,0,0,0,0,0,360,0,720,0,1440,0,0,1440,0,1440,0,1440,0,1080,0,0,0,360,0,0,720,0,0,0,0,0,0,0,0,0,360,1440,0,1440,0,0,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,720,1080,0,360,0,0,0,360,0,360,0,0,0,0,360,0,0,1440,0,1440,0,0,0,0,0,0,0,0,0,1080,0,1080,0,1440,0,1440,0,0,0,0,0,0,0,1440,1440,1080,0,0,0,0,0,0,0,1440,0,1440,1080,0,1080,1080
0,0,1080,0,1440,0,0,1440,0,1440,0,1080,360,0,360,0,0,0,0,0,0,0,0,0,0,0,360,0,720,0,1080,0,0,1080,0,1080,360,1080,360,1080,0,0,0,360,0,0,720,0,0,0,0,0,0,0,0,0,360,1440,360,1440,0,0,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,720,1080,0,360,0,0,0,0,0,360,0,0,0,0,360,0,0,1080,0,1080,0,0,0,0,0,0,0,0,0,1080,0,1080,0,1440,0,1440,0,0,0,0,0,0,0,1440,1440,1080,0,0,0,0,0,0,0,1440,0,1440,1080,0,1080,1080
0,0,1440,0,1440,0,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,0,1440,0,1440,0,720,0,1440,0,0,0,0,0,0,0,0,0,0,0,720,0,0,0,0,0,1440,0,1440,0,0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,720,0,0,0,0,0,0,0,1440,0,1440,0,1440,0,1440,0,0,0,0,0,0,0,0,0,1440,1440,1440,0,0,0,0,0,0,720,720,0,1440,1440,0,0,1440
