第211个节点
UB = 338400, LB = 338400, GAP = 0
上海虹桥站613分出乘G7507/1 →G7576/3 →G7234/2 →G7022 →G7125 上海虹桥站1311分退乘 ,总长度, 698,纯乘务时间 350,总接续时间 348,外驻时间 0,总工作时间818
南京南站468分出乘G7587 →G7594/3 →G7583/1 →G7646/2 →G7642/2 南京南站1241分退乘 ,总长度, 773,纯乘务时间 312,总接续时间 461,外驻时间 0,总工作时间893
杭州东站646分出乘G7355/2 →G1484/4 →G9515 →G9516 杭州东站1231分退乘 ,总长度, 585,纯乘务时间 275,总接续时间 310,外驻时间 0,总工作时间705
南京南站482分出乘G579 →G7578 →G7229 →G7064 →D9519 →D9520 南京南站1238分退乘 ,总长度, 756,纯乘务时间 521,总接续时间 235,外驻时间 0,总工作时间876
杭州东站646分出乘G7355/2 →G2039/4 →G7642/1 →G1864/6 杭州东站1270分退乘 ,总长度, 624,纯乘务时间 261,总接续时间 363,外驻时间 0,总工作时间744
杭州东站787分出乘G7594/5 →G2039/5 →G7630 →G7466/1 杭州东站1365分退乘 ,总长度, 578,纯乘务时间 273,总接续时间 305,外驻时间 0,总工作时间698
杭州东站640分出乘G7627/1 →G7619/5 →G7682 →G7682/1 →G37/3 杭州东站1327分退乘 ,总长度, 687,纯乘务时间 390,总接续时间 297,外驻时间 0,总工作时间807
南京南站679分出乘G7632/2 →G9503 →D5608 →G7603 →G7612 南京南站1363分退乘 ,总长度, 684,纯乘务时间 451,总接续时间 233,外驻时间 0,总工作时间804
杭州站370分出乘G7358 →G7080 →G7594/3 →G7378/2 →G7353/1 杭州站914分退乘 ,总长度, 544,纯乘务时间 292,总接续时间 252,外驻时间 0,总工作时间664
合肥南站480分出乘G7228/5 →G7010 →G7057 →G7292 →G7682/3 合肥南站1247分退乘 ,总长度, 767,纯乘务时间 506,总接续时间 261,外驻时间 0,总工作时间887
杭州东站434分出乘G1862 →G7150/1 →G7078/2 →G7092 →G7092/1 →G7613 →G7685/2 →G7316 杭州东站1187分退乘 ,总长度, 753,纯乘务时间 474,总接续时间 279,外驻时间 0,总工作时间873
杭州东站617分出乘G7674/2 →G7669/2 →G7520 →G7590/1 →G145/3 →G7383 →G7342/1 杭州东站1393分退乘 ,总长度, 776,纯乘务时间 504,总接续时间 272,外驻时间 0,总工作时间896
上海站559分出乘G7202 →G7134/2 →G7517 →G7522 →G7596/2 →G7275/2 上海站1318分退乘 ,总长度, 759,纯乘务时间 397,总接续时间 362,外驻时间 0,总工作时间879
南京南站640分出乘G7162/2 →G7082/3 →G7052 →G7065 →G7070 南京南站1360分退乘 ,总长度, 720,纯乘务时间 492,总接续时间 228,外驻时间 0,总工作时间840
杭州东站640分出乘G7627/1 →G7380 →G2314/3 →G7628 →G7466/1 杭州东站1365分退乘 ,总长度, 725,纯乘务时间 287,总接续时间 438,外驻时间 0,总工作时间845
杭州东站535分出乘G7641/1 →G7641/2 →G7349/3 →G7326 →G7622/1 →G7571/4 →G9516 杭州东站1231分退乘 ,总长度, 696,纯乘务时间 395,总接续时间 301,外驻时间 0,总工作时间816
上海虹桥站410分出乘G7501 →G7532/1 →G7599/3 →G7609/1 →G7584 →G7522/1 上海虹桥站1166分退乘 ,总长度, 756,纯乘务时间 397,总接续时间 359,外驻时间 0,总工作时间876
上海虹桥站389分出乘G7333 →G7643/3 →G2362/2 →G7696 →G1356/3 上海虹桥站1158分退乘 ,总长度, 769,纯乘务时间 392,总接续时间 377,外驻时间 0,总工作时间889
杭州东站468分出乘G7533 →G2362 →G2362/1 →G7380 →G7380/1 →G7567 →G2364/8 →G9516 杭州东站1231分退乘 ,总长度, 763,纯乘务时间 553,总接续时间 210,外驻时间 0,总工作时间883
南京南站512分出乘G106/1 →G212/4 →G215 →G145/1 →G45/2 南京南站1190分退乘 ,总长度, 678,纯乘务时间 441,总接续时间 237,外驻时间 0,总工作时间798
合肥南站697分出乘G7232/2 →G7234 →G7572/6 →G7572/7 →G267/3 合肥南站1350分退乘 ,总长度, 653,纯乘务时间 220,总接续时间 433,外驻时间 0,总工作时间773
合肥南站500分出乘G7694 →G54/5 →G411/2 →G1958/6 →G9406/7 合肥南站1276分退乘 ,总长度, 776,纯乘务时间 499,总接续时间 277,外驻时间 0,总工作时间896
杭州东站360分出乘G7341 →G7632 →G7572/2 →G7537 →G7550/4 杭州东站1101分退乘 ,总长度, 741,纯乘务时间 415,总接续时间 326,外驻时间 0,总工作时间861
上海虹桥站613分出乘G7507/1 →G7461/1 →G2364/5 →G2304/7 →G7340 →G7462/1 上海虹桥站1385分退乘 ,总长度, 772,纯乘务时间 399,总接续时间 373,外驻时间 0,总工作时间892
杭州东站590分出乘G46/1 →G1481 →G7334/2 →G7514/1 →G7545/3 →G2344/10 →G7534/1 杭州东站1347分退乘 ,总长度, 757,纯乘务时间 400,总接续时间 357,外驻时间 0,总工作时间877
杭州东站468分出乘G7533 →G2342 →G164/2 →G7608/1 →D9517 →D9518 →G7629 杭州东站1202分退乘 ,总长度, 734,纯乘务时间 496,总接续时间 238,外驻时间 0,总工作时间854
